SIRA NO;ENDEKS KODU;ENDEKSLER;ENDEKSLERIN INGILIZCE ISIMLERI;KUR TURU;TARIH;KAPANIS
ORDER;INDEX CODE;INDEX NAMES IN TURKISH;INDICES;CURRENCY TYPE;DATE;CLOSING VALUE
146;XULAS_CFNNTLUS;BIST ULASTIRMA GETIRI (ABD DOLARI);BIST TRANSPORTATION RETURN (USD);USD;06/01/2023;10262.2
147;XULAS_CFNNTLER;BIST ULASTIRMA GETIRI (EURO);BIST TRANSPORTATION RETURN (EURO);EUR;06/01/2023;11444.78
148;XUMAL_CFNNTLTL;BIST MALI GETIRI;BIST FINANCIALS RETURN;TRY;06/01/2023;7982.19
149;XUMAL_CFNNTLUS;BIST MALI GETIRI (ABD DOLARI);BIST FINANCIALS RETURN (USD);USD;06/01/2023;2477.31
150;XUMAL_CFNNTLER;BIST MALI GETIRI (EURO);BIST FINANCIALS RETURN (EURO);EUR;06/01/2023;2762.79
151;XBANK_CFNNTLTL;BIST BANKA GETIRI;BIST BANKS RETURN;TRY;06/01/2023;7373.65
152;XBANK_CFNNTLUS;BIST BANKA GETIRI (ABD DOLARI);BIST BANKS RETURN (USD);USD;06/01/2023;2288.45
153;XBANK_CFNNTLER;BIST BANKA GETIRI (EURO);BIST BANKS RETURN (EURO);EUR;06/01/2023;2552.17
154;XSGRT_CFNNTLTL;BIST SIGORTA GETIRI;BIST INSURANCE RETURN;TRY;06/01/2023;27228.08
155;XSGRT_CFNNTLUS;BIST SIGORTA GETIRI (ABD DOLARI);BIST INSURANCE RETURN (USD);USD;06/01/2023;8450.38
156;XSGRT_CFNNTLER;BIST SIGORTA GETIRI (EURO);BIST INSURANCE RETURN (EURO);EUR;06/01/2023;9424.17
157;XFINK_CFNNTLTL;BIST FIN. KIR. FAKTORING GETIRI;BIST LEASING FACTORING RETURN;TRY;06/01/2023;3226.86
158;XFINK_CFNNTLUS;BIST FIN. KIR. FAKTORING GETIRI (ABD DOLARI);BIST LEASING FACTORING RETURN (USD);USD;06/01/2023;1001.47
159;XFINK_CFNNTLER;BIST FIN. KIR. FAKTORING GETIRI (EURO);BIST LEASING FACTORING RETURN (EURO);EUR;06/01/2023;1116.88
